METRO_AREA,STATE,LAT,LON,TOTAL,NAT_RES,CONSTRUCTION,DURABLE,NONDURABLE,RETAIL,TRANSPORT,INFORMATION,FINANCE,BUSINESS,SOCIAL,ARTS_ENT,GOVERNMENT,OTHER
Blacksburg-Christiansburg-Radford,VA,37.127,-80.4131,0.7,0.01,0.25,0.53,-0.03,-0.07,0.07,0.05,-0.1,(D),0.04,(D),0.02,0.09
Bloomington,IL,40.4842027,-88.9936873,-3.3,-1.31,-0.26,0,0.06,0.15,-0.01,-0.05,-1.15,-0.57,0,0.02,0.09,-0.29
Bloomington,IN,39.165325,-86.5263857,-0.7,-0.47,-0.24,-0.09,-0.14,0.14,-0.14,-0.31,0.63,0.09,-0.16,0.03,0.19,-0.24
Bloomsburg-Berwick,PA,41.0043954,-76.4574245,-1.9,0.11,0.27,0.25,-0.24,0.19,0.07,(D),-0.11,-4.35,0.18,-0.06,(D),-0.12
Boise City,ID,43.6144166,-116.2011147,2.6,0.16,-0.18,1.12,-0.01,(D),(D),0.06,-0.41,0.37,0.34,0.1,0.05,0
Boston-Cambridge-Newton,MA,42.3752152,-71.0548525,2.6,0,(D),0.19,(D),0.22,0.1,0.36,0.33,0.93,0.22,0.05,0.06,0.08
Boulder,CO,40.1692244,-105.0935246,4.6,0.2,0.15,0.63,0.23,0.36,-0.03,0.32,1.3,0.94,0.33,0.16,-0.08,0.13
Bowling Green,KY,36.7497889,-86.1951163,1.6,-0.26,-0.06,0.69,-0.28,0.82,0.04,0.01,-0.26,0.49,0.43,0.09,0.04,-0.19
Bremerton-Silverdale,WA,47.5637637,-122.6586657,1.1,0.07,-0.15,0.12,0.01,0,0.17,0.11,0.43,-0.13,0.16,0.15,0.12,0.02
Bridgeport-Stamford-Norwalk,CT,41.1849461,-73.0920375,0.8,0,-0.07,-0.12,-0.05,0.01,0.08,0.18,0.22,0.32,0.11,0.11,0.02,0.02
Brownsville-Harlingen,TX,26.2580093,-97.8327503,1,-0.05,-0.58,-0.25,0.1,0.71,0.09,0.16,-0.16,-0.15,0.69,0.05,0.25,0.15
Brunswick,GA,31.1499528,-81.4914894,-2,(D),-2.09,-0.12,-0.26,(D),(D),0.25,-0.6,0.33,-0.26,0.56,0.21,-0.13
Buffalo-Cheektowaga-Niagara Falls,NY,42.8953167,-78.7342618,1.3,-0.01,-0.04,0.07,0.2,0.45,0.09,0.2,0.2,-0.22,0.21,0.09,0.05,0.02
Burlington,NC,36.0956918,-79.4377991,-0.7,0.1,-0.28,-0.83,0.11,0.22,-0.03,-0.16,0.69,-0.15,-0.24,0,-0.06,-0.08
Burlington-South Burlington,VT,44.487754,-73.19747,0.4,(D),-0.1,(D),(D),-0.25,-0.06,0.36,(D),0.34,0.08,(D),0.05,0.2
California-Lexington Park,MD,38.3004029,-76.5074542,-0.5,0.01,0.39,-0.22,-0.13,0.18,-0.03,-0.12,-0.19,-0.04,0.06,-0.01,0.01,-0.46
Canton-Massillon,OH,40.9146904,-81.1057945,3.8,(D),-0.21,0.5,1.13,0.34,-0.31,(D),-0.18,0.72,0.06,0.11,0.01,-0.09
Cape Coral-Fort Myers,FL,26.5596896,-81.9248622,3.9,0.08,0.72,0.07,0.01,0.89,0.14,0.58,0.05,0.75,0.42,0.22,0.02,-0.03
Cape Girardeau,MO,37.3058839,-89.5181476,-0.7,(D),(D),0.21,0.02,-0.03,0.32,0.4,0.17,-0.22,-0.29,-0.16,-0.05,-0.1
Carbondale-Marion,IL,37.7275106,-89.2137511,-3.5,-2.55,-0.05,0.39,0.1,(D),(D),0.12,-0.92,0.14,0.06,0.02,-0.03,-0.77
Carson City,NV,39.1637984,-119.7674034,-1.5,-0.01,0.37,-0.4,-0.07,0.37,-0.05,0.1,-1.4,-0.14,0.31,-0.47,-0.06,-0.05
Casper,WY,42.8514751,-106.2707779,6,4.4,0.24,0.14,0.29,0.36,-0.5,0,0.81,0.24,0.38,0.06,-0.33,-0.06
Cedar Rapids,IA,41.8602912,-91.4927992,1.3,(D),0.29,0.15,-0.11,0.4,0.39,-0.05,0.14,0.28,(D),0.05,0.07,0.04
Chambersburg-Waynesboro,PA,39.7525867,-77.5806467,2.3,0.17,-0.02,0.64,0.52,0.47,-0.21,0.02,0.1,0.42,0.5,-0.12,-0.09,-0.14
Champaign-Urbana,IL,40.1105875,-88.2072697,-3,-2.73,-0.25,-0.01,0.02,-0.06,-0.13,0.25,-0.03,0.11,(D),0.01,(D),-0.78
Charleston,WV,38.4819031,-81.3042658,6.4,5.3,-0.29,0.14,0.34,(D),(D),0.23,1.03,0.09,0.16,(D),-0.04,-0.06
Charleston-North Charleston,SC,32.7789836,-79.8065341,2,-0.05,-0.07,-0.09,0.35,(D),(D),0.14,0.14,0.19,0.65,0.19,0.06,0.04
Charlotte-Concord-Gastonia,NC,35.2606857,-81.1819383,2.1,0,0.01,-0.28,0.09,(D),(D),0.56,-0.25,1.38,0.15,0.13,-0.02,-0.07
Charlottesville,VA,38.0293059,-78.4766781,-0.2,-0.02,-0.14,0.03,0.13,-0.01,-0.05,0.15,-0.37,-0.04,0.04,-0.03,0,0.09
Chattanooga,TN,35.0456297,-85.3096801,-0.9,0.02,-0.21,-0.08,-0.03,0.13,-0.27,0.14,-0.58,-0.1,0.07,(D),(D),-0.06
Cheyenne,WY,41.1478296,-104.8227381,2.2,1.22,-0.28,0.08,0.95,0.11,0.34,0.12,0.67,0.16,0.02,-0.46,-0.35,-0.37
Chicago-Naperville-Elgin,IL,41.7715102,-88.1480598,1.8,-0.08,-0.09,0.11,0.41,(D),0.07,0.06,0.48,0.67,0.1,0.01,0.11,-0.25
Chico,CA,39.7310766,-121.8411665,1,-0.44,-0.01,0.06,-0.06,0.74,-0.09,0.15,0.07,-0.21,0.64,0.08,-0.22,0.32
Cincinnati,OH,39.1011379,-84.5129663,2.5,0.01,0.03,0.24,0.24,0.27,-0.03,-0.08,0.26,1.21,0.34,0.07,0.07,-0.09
Clarksville,TN,36.5297706,-87.3594528,-1.2,-0.38,-0.02,0.12,0.03,0.28,0.06,(D),-0.65,-0.18,0.39,0.04,0.06,-1.09
Cleveland,TN,35.1740145,-84.9017818,2.5,-0.01,0.42,0.8,-0.38,0.55,0.11,-0.01,-0.24,0.39,0.97,0.06,-0.16,-0.03
Cleveland-Elyria,OH,41.4204044,-81.7032744,1.2,0.51,-0.12,0.18,0.05,0.22,-0.13,-0.03,-0.19,0.59,0.03,0.16,-0.02,-0.1
Coeur d'Alene,ID,47.692141,-116.783345,2.8,0.76,0.18,0.28,0.19,0.6,-0.03,-0.05,-0.14,-0.09,0.67,0.22,0.1,0.04
College Station-Bryan,TX,30.8818021,-96.5955056,4,(D),0.53,0.33,0.12,0.67,(D),(D),-0.06,0.25,0.44,(D),(D),0.21
Colorado Springs,CO,38.795577,-104.8472309,2.6,-0.01,0.14,0.35,-0.01,0.23,0,-0.14,1.51,0.15,0.25,0.02,0.07,0.03
Columbia,MO,38.9515971,-92.3307668,1.6,-0.11,-0.12,0.07,0.05,0.4,-0.04,0.22,0.3,0.64,0.21,0.07,0.03,-0.15
Columbia,SC,33.861612,-81.057462,2.1,-0.05,-0.32,0.63,-0.1,(D),0.13,(D),(D),0.17,0.35,0.05,0.09,0.06
Columbus,GA,32.466963,-85.090375,0.3,(D),-0.05,(D),0.01,-0.33,-0.13,(D),(D),-0.18,0.09,-0.02,0.08,-0.49
Columbus,IN,32.4531634,-84.9875864,1.5,-0.32,-0.16,0.55,0.32,0.27,0,0.01,-0.22,0.98,-0.06,0.18,0.07,-0.08
Columbus,OH,39.9928355,-83.0069593,1.9,-0.05,-0.02,-0.06,-0.03,(D),(D),-0.14,0.25,1.06,0.39,0.05,0.18,-0.13
Corpus Christi,TX,27.7804428,-97.3995916,6.5,2.9,0.1,-0.05,1.38,(D),(D),-0.05,0.67,0.25,0.01,0.16,0.12,0.03
Corvallis,OR,44.5645659,-123.2620435,-0.7,-0.3,-0.17,-0.39,0.01,0.25,-0.04,-0.15,-0.4,-0.21,0.23,0.13,0,0.36
Crestview-Fort Walton Beach-Destin,FL,30.4363446,-86.5782817,-0.3,-0.33,-0.1,-0.28,0.16,0.44,-0.16,0.01,0.12,0,0,0.29,0,-0.46
Cumberland,MD,39.6528654,-78.7625185,-0.5,0.09,-0.71,-0.52,-0.04,0.26,0.08,0.26,-1.03,0.03,0.84,0.23,0,0.01
Dallas-Fort Worth-Arlington,TX,32.8651226,-96.778834,8.5,(D),0.1,0.16,3.94,0.49,0.27,(D),(D),0.87,0.29,0.06,0.01,0.04
Dalton,GA,34.9512053,-84.7370329,2.9,0.03,0.26,0.11,1.74,-0.18,0.11,-0.64,-0.37,1.29,0.43,0.08,0.05,-0.04
Danville,IL,40.124481,-87.6300207,-2.8,-3.03,-0.11,0.94,-0.01,0.33,0.09,0.04,-1.17,0.22,0.4,-0.08,0.01,-0.44
Daphne-Fairhope-Foley,AL,30.4066177,-87.7253002,0,-0.15,0.01,0.27,-0.05,1.19,-0.06,0.03,-2.63,0.4,0.66,0.41,-0.07,0
Davenport-Moline-Rock Island,IA,41.5207853,-90.5888389,-2.1,-0.9,-0.02,-0.66,-0.08,-0.59,-0.03,-0.02,0.04,0.48,-0.02,-0.09,0.01,-0.22
Dayton,OH,39.7595342,-84.1919267,0.3,-0.11,0,0.11,-0.16,0.28,0.05,-0.02,-0.28,0.37,0.26,0.06,-0.08,-0.2
Decatur,AL,34.6059253,-86.9833417,-0.6,-0.08,-0.42,0.81,-0.99,0.15,0.14,-0.02,-0.31,0.15,0.15,0,-0.15,0
Decatur,IL,39.8205343,-88.9557696,5.4,-0.73,-0.28,-0.76,7.4,0.15,-0.09,-0.02,-0.12,0.24,-0.07,-0.06,-0.02,-0.22
Deltona-Daytona Beach-Ormond Beach,FL,29.2314463,-81.0269736,2.9,-0.05,0.06,0.65,0.03,0.4,-0.12,-0.05,0.81,0.63,0.25,0.32,0.01,-0.03
Denver-Aurora-Lakewood,CO,39.7240643,-105.0909137,5,1.69,0.34,0.07,0.27,0.53,0.19,0.28,0,0.91,0.34,0.18,(D),0.09
Des Moines-West Des Moines,IA,41.5695663,-93.7102956,2.6,-0.25,0.38,-0.08,0.06,0.15,0.13,-0.04,1.24,0.67,0.24,0.01,0.01,0.05
Detroit-Warren-Dearborn,MI,42.3409031,-83.2982737,2.2,-0.01,0.06,0.46,0.2,(D),(D),0.11,0.19,0.6,0.13,0.06,0.05,-0.04
Dothan,AL,31.2232313,-85.3904888,-0.8,-0.39,-0.61,0.28,-0.23,0.49,-0.73,0.01,0.1,0.02,0.02,0,0.18,0.01
Dover,DE,39.1766765,-75.5027267,1.6,-0.28,0.39,(D),0.24,0.56,0.31,-0.15,0.25,0.22,0.23,0.07,-0.12,-0.43
Dubuque,IA,42.4997999,-90.6641371,0.6,-0.58,-0.12,0.54,-0.01,0.55,0.04,-0.06,-0.04,-0.03,0.25,-0.07,0.12,0.03
Duluth,MN,46.7888932,-92.101573,0.3,-0.79,0.12,0.3,-0.16,0.21,-0.11,-0.18,0.07,0.29,0.33,0.06,0.09,0.1
Durham-Chapel Hill,NC,35.913413,-79.0542202,2.1,-0.02,-0.03,0.11,0.53,0.06,0.02,0.4,0.02,0.93,0.12,0.06,0.03,-0.12
East Stroudsburg,PA,40.9995386,-75.1812913,-3.6,-0.05,-0.27,0.24,-1.28,0,0.07,0.01,-1.41,-0.43,0.11,-0.24,-0.15,-0.18
Eau Claire,WI,44.8017231,-91.5077079,3.4,0.7,0.25,0.29,0.22,0.53,0.29,0.04,0.29,0.2,0.78,-0.02,-0.16,-0.05
El Centro,CA,32.8148688,-115.6743343,1.6,-0.85,0.12,0.05,-0.46,1.36,0.67,0.05,-0.04,-0.26,0.26,0.07,0.05,0.56
Elizabethtown-Fort Knox,KY,37.8988065,-85.9489877,-2.5,-0.05,-0.16,0.32,0.1,0.08,-0.27,-1.41,-0.31,0.17,-0.06,0.12,(D),-0.88
Elkhart-Goshen,IN,41.6913109,-85.9581004,4.5,-0.27,-0.02,2.46,0.92,0.57,0.1,0.01,-0.42,0.98,0.17,0.03,0.07,-0.05
Elmira,NY,42.0897965,-76.8077338,-1.4,-0.13,-0.32,-1,0.08,0.05,-0.12,0.25,-0.52,0.33,-0.15,-0.03,0.11,0.01
El Paso,TX,29.4174994,-98.4987346,0.7,-0.03,0.17,0.08,-0.13,(D),(D),0.03,(D),0.26,0.23,0.11,-0.06,-0.06
Erie,PA,42.1323836,-80.0871166,0.3,-0.02,-0.17,-0.68,0.29,0.08,0.01,0.06,0.7,0.17,0.03,0.01,-0.08,-0.12
Eugene,OR,44.0532446,-123.0926688,1.6,-0.01,0.03,-0.26,-0.01,0.43,0.11,-0.14,0.17,0.46,0.44,0.13,0,0.29
Evansville,IN,37.9715592,-87.5710898,-0.5,-0.62,0.11,0.13,-0.02,(D),(D),-0.09,-0.18,0.15,0.21,-0.04,0.03,-0.08
Fairbanks,AK,64.8377778,-147.7163889,-0.8,-0.2,0.34,0.01,0.36,0.02,-0.16,-0.03,(D),-0.32,0.06,0.11,0,-0.76
Fargo,ND,46.874272,-96.792946,3.9,-0.54,0.23,0.05,0.17,0.62,0.29,0.32,1.31,0.9,0.24,0.18,0.01,0.13
